City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Bara,NG,10.3744,10.7288,80.47,61,9,4.54,clear sky
130,Putina,PE,-15.4667,-69.4333,55.15,47,39,11.12,scattered clouds
131,Upernavik,GL,72.7868,-56.1549,25.41,64,0,2.55,clear sky
132,Nanortalik,GL,60.1432,-45.2371,39.56,68,10,4.59,clear sky
133,Ulladulla,AU,-35.35,150.4667,48.87,65,100,2.51,overcast clouds
134,Uusikaupunki,FI,60.8004,21.4084,41.52,69,54,5.41,broken clouds
135,Clyde River,CA,70.4692,-68.5914,29.86,80,18,6.8,few clouds
136,Faanui,PF,-16.4833,-151.75,79.48,76,15,14.29,few clouds
137,Dunda,TZ,-8.1167,34.25,76.01,34,100,7.02,overcast clouds
138,Erzin,TR,36.9559,36.2,75.0,32,0,2.26,clear sky
139,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,84,100,5.35,overcast clouds
140,Shar,KZ,49.5886,81.0453,34.56,52,8,5.75,clear sky
141,Arman,RU,59.7,150.1667,36.28,71,56,9.75,broken clouds
142,Chokurdakh,RU,70.6333,147.9167,28.58,85,100,15.9,overcast clouds
143,Antofagasta,CL,-23.65,-70.4,60.08,65,25,8.01,scattered clouds
144,Camana,PE,-16.6228,-72.7111,64.72,74,52,7.7,broken clouds
145,Buala,SB,-8.145,159.5921,79.66,79,100,3.98,overcast clouds
146,Shelburne,CA,44.0787,-80.2041,61.74,62,84,15.7,broken clouds
147,Maniitsoq,GL,65.4167,-52.9,33.08,50,0,2.21,clear sky
148,Vicuna,CL,-30.0319,-70.7081,56.93,15,0,9.75,clear sky
149,Beyneu,KZ,45.3167,55.2,58.33,68,1,15.03,clear sky
150,Cotonou,BJ,6.3654,2.4183,78.78,89,75,5.75,moderate rain
151,Codrington,AU,-38.2667,141.9667,41.9,83,100,7.78,overcast clouds
152,Aykhal,RU,66.0,111.5,26.06,83,87,9.42,overcast clouds
153,Constantine,DZ,36.365,6.6147,78.21,65,40,2.3,scattered clouds
154,San Cristobal,VE,7.7669,-72.225,93.38,39,76,8.57,broken clouds
155,Gezing,AT,47.9178,13.1299,66.02,96,40,2.3,scattered clouds
156,Karratha,AU,-20.7377,116.8463,69.66,47,5,13.89,clear sky
157,Perth,AU,-31.9333,115.8333,55.58,96,20,3.44,mist
158,Provideniya,RU,64.3833,-173.3,37.51,81,75,11.18,light rain
159,Lavrentiya,RU,65.5833,-171.0,30.06,80,97,6.49,overcast clouds
160,Sao Filipe,CV,14.8961,-24.4956,79.43,75,44,5.88,scattered clouds
161,Coquimbo,CL,-29.9533,-71.3436,64.13,67,0,16.11,clear sky
162,Gwanda,ZW,-20.9333,29.0,69.21,22,0,6.69,clear sky
