City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Valdez,EC,79.18,few clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
436,Atarra,IN,82.74,overcast clouds,25.2833,80.5667,Akhand's _Hotel
438,Maraa,BR,84.4,overcast clouds,-1.8333,-65.3667,
440,Goure,NE,89.02,overcast clouds,13.9835,10.2704,
450,Alpoyeca,MX,83.97,overcast clouds,17.6667,-98.5167,"Puente VEHICULAR ALPOYECA-SAN JOSE BUENA VISTA GUERRERO, MÉXICO."
451,Yining,CN,78.64,light rain,29.0361,114.5636,Xiushui Hotel
458,Anderson,US,82.26,clear sky,34.5334,-82.6499,The Bleckley Inn
461,Champerico,GT,87.28,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
465,Mahibadhoo,MV,81.72,overcast clouds,3.7833,72.9667,Omadhoo Inn
466,Huangmei,CN,78.64,light rain,30.1924,116.025,Tianxiachan Hotel
468,Rockport,US,87.84,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
469,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
472,Wilmington,US,82.94,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
478,Vanimo,PG,77.16,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
479,Santa Cruz Cabralia,BR,77.23,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
480,Helena,US,85.17,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
483,Barra Patuca,HN,85.06,overcast clouds,15.8,-84.2833,
485,Itarema,BR,83.43,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
486,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
487,Saint George,US,88.54,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
488,Beterou,BJ,78.64,broken clouds,9.1992,2.2586,Monastère de Kokoubou
497,Sao Felix Do Xingu,BR,88.0,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
503,Male,MV,81.21,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
504,Bilma,NE,88.0,clear sky,18.6853,12.9164,Expeditions Ténére voyages
506,Malpe,IN,78.1,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
509,Catia La Mar,VE,88.0,overcast clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
